TABLE creditcards
ATTRIBUTES 15
a1 NUMERIC 0
a2 NUMERIC 2
a3 NUMERIC 0
a4 NUMERIC 0
a5 NUMERIC 0
a6 NUMERIC 0
a7 NUMERIC 3
a8 NUMERIC 0
a9 NUMERIC 0
a10 NUMERIC 0
a11 NUMERIC 0
a12 NUMERIC 0
a13 NUMERIC 0
a14 NUMERIC 0
d SYMBOLIC
OBJECTS 172
1 29.58 4 2 9 4 7.5 1 1 2 1 2 330 1 1
1 20 1 1 4 4 0.125 0 0 0 0 2 140 5 0
0 28.17 0 2 6 4 0.04 0 0 0 0 2 260 1005 0
1 41.58 1 2 4 4 0.21 1 0 0 0 2 160 1 0
1 23.08 2 2 8 4 1.085 1 1 11 1 2 60 2185 1
1 52.33 1 1 8 8 9.460 1 0 0 1 2 200 101 0
1 23.08 11 2 9 8 2.125 1 1 11 1 2 290 285 1
1 39.58 13 2 9 4 8.625 1 1 6 1 2 70 1 1
1 22.58 1 1 6 4 0.54 0 0 0 1 2 120 68 0
1 63.33 0 2 8 4 0.585 1 1 3 1 2 180 1 0
0 29.5 2 1 10 8 2 0 0 0 0 2 256 18 0
1 27.58 3 1 11 8 5.085 0 1 2 1 2 369 2 0
1 56.75 12 2 7 4 1.25 1 1 4 1 2 200 1 1
1 43.17 5 2 3 5 2.25 0 0 0 1 2 141 1 0
1 18.5 2 2 3 4 1.5 1 1 2 0 2 120 301 1
0 18.58 10 2 2 4 0.415 0 0 0 0 2 80 43 0
1 23.42 1 2 8 4 0.5 0 0 0 1 1 280 1 0
1 37.58 0 2 8 4 0 0 0 0 0 3 184 1 1
0 24.75 13 2 11 8 1.5 0 0 0 0 2 280 2 0
1 27.75 1 2 4 8 0.25 0 0 0 1 1 140 1 0
1 28.67 14 2 2 4 0.125 0 0 0 0 2 0 287 0
0 18.17 10 1 11 8 0.165 0 0 0 0 2 340 1 0
1 21.25 1 2 9 4 1.5 0 0 0 0 2 150 9 1
0 38.92 1 2 6 4 0.25 0 0 0 0 2 0 391 0
1 31.83 0 1 7 4 0.04 0 0 0 0 2 0 1 0
1 27.67 13 2 9 4 5.75 1 0 0 1 2 487 501 1
1 27.75 0 1 13 4 0.25 1 1 2 0 2 260 501 1
1 47.33 6 2 8 4 1 0 0 0 1 2 0 229 0
1 33.58 0 2 3 5 4 0 0 0 1 1 420 1 0
0 58.33 10 2 11 4 4 1 1 14 0 2 0 1603 1
1 28.92 0 2 8 4 0.29 0 0 0 0 2 220 141 0
0 20.83 0 1 10 2 1 0 0 0 0 2 260 1 0
0 26.5 2 1 8 4 0.08500 0 0 0 0 1 80 1 0
0 22.25 1 1 1 1 3.25 0 0 0 0 2 280 1 0
1 64.08 20 2 14 8 17.5 1 1 9 1 2 0 1001 1
1 34.83 4 2 2 5 12.5 1 0 0 1 2 184 1 0
0 47.42 8 2 10 5 6.5 1 1 6 0 2 375 51101 1
1 45.17 1 2 8 4 2.5 1 0 0 1 2 140 1 0
1 15.17 7 2 10 4 1 0 0 0 0 2 600 1 0
1 18.83 0 1 8 4 0.165 0 1 1 0 2 200 2 0
1 34.08 2 2 8 4 1 0 0 0 0 2 460 17 0
1 34.5 4 1 3 5 8.5 1 1 7 1 2 195 1 1
1 18.25 0 2 2 4 0.25 0 0 0 1 1 280 1 0
0 22.5 8 1 14 4 2.46 0 0 0 0 2 164 1 1
1 41.17 4 2 13 8 7 1 1 8 0 2 320 1 1
1 41.17 1 1 9 4 0.25 0 0 0 0 2 0 196 0
